epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,1957.97,0.79027,0.50177,0.95474,0.94282,0.94881,0.9754,0.75756,0.82684,0.36956,0.93373,0.00160659,0.000535532,0.00160659,0.000535532,0.00160659,0.000535532,0.00160659,0.000535532
48,1995.03,0.7907,0.50215,0.95127,0.94027,0.94585,0.97407,0.75871,0.83202,0.37433,0.93845,0.00159137,0.000530456,0.00159137,0.000530456,0.00159137,0.000530456,0.00159137,0.000530456
49,2038.48,0.78271,0.49619,0.95221,0.93739,0.9488,0.97673,0.76152,0.83832,0.37148,0.93897,0.00157614,0.000525381,0.00157614,0.000525381,0.00157614,0.000525381,0.00157614,0.000525381
50,2083.26,0.78359,0.49404,0.94988,0.93359,0.95376,0.97743,0.76479,0.84982,0.37244,0.94281,0.00156092,0.000520305,0.00156092,0.000520305,0.00156092,0.000520305,0.00156092,0.000520305
51,2118.92,0.78551,0.49672,0.95078,0.93472,0.95316,0.97814,0.76549,0.82861,0.36588,0.93573,0.00154569,0.00051523,0.00154569,0.00051523,0.00154569,0.00051523,0.00154569,0.00051523
52,2154.4,0.78372,0.4886,0.94671,0.92879,0.95696,0.97841,0.76902,0.83857,0.37274,0.9374,0.00153046,0.000510155,0.00153046,0.000510155,0.00153046,0.000510155,0.00153046,0.000510155
53,2189.81,0.78412,0.49136,0.9499,0.92769,0.95773,0.97773,0.75894,0.83883,0.36475,0.92966,0.00151524,0.000505079,0.00151524,0.000505079,0.00151524,0.000505079,0.00151524,0.000505079
54,2225.23,0.77625,0.48782,0.9482,0.92291,0.9629,0.97822,0.76085,0.843,0.37058,0.94475,0.00150001,0.000500004,0.00150001,0.000500004,0.00150001,0.000500004,0.00150001,0.000500004
55,2260.65,0.77713,0.48514,0.94619,0.93269,0.9425,0.97887,0.75933,0.83517,0.36786,0.94133,0.00148479,0.000494928,0.00148479,0.000494928,0.00148479,0.000494928,0.00148479,0.000494928
56,2297.37,0.7794,0.48718,0.94452,0.92021,0.95943,0.97876,0.76359,0.84961,0.37731,0.96148,0.00146956,0.000489853,0.00146956,0.000489853,0.00146956,0.000489853,0.00146956,0.000489853
57,2332.62,0.77988,0.483,0.9499,0.93955,0.95644,0.97813,0.76472,0.84618,0.36613,0.94059,0.00145433,0.000484778,0.00145433,0.000484778,0.00145433,0.000484778,0.00145433,0.000484778
58,2368.09,0.77533,0.48226,0.94572,0.93842,0.94514,0.98051,0.76251,0.83103,0.36992,0.94507,0.00143911,0.000479702,0.00143911,0.000479702,0.00143911,0.000479702,0.00143911,0.000479702
59,2404.4,0.77851,0.48926,0.94878,0.94089,0.95305,0.97731,0.7558,0.83474,0.37081,0.94855,0.00142388,0.000474627,0.00142388,0.000474627,0.00142388,0.000474627,0.00142388,0.000474627
60,2439.57,0.76895,0.47811,0.9466,0.93636,0.95175,0.97788,0.75991,0.82817,0.36451,0.93765,0.00140865,0.000469551,0.00140865,0.000469551,0.00140865,0.000469551,0.00140865,0.000469551
61,2474.72,0.7706,0.47655,0.94756,0.93374,0.95259,0.97969,0.76627,0.85996,0.36656,0.93558,0.00139343,0.000464476,0.00139343,0.000464476,0.00139343,0.000464476,0.00139343,0.000464476
62,2509.78,0.76993,0.4754,0.94737,0.9349,0.95259,0.97763,0.76059,0.83998,0.36472,0.94254,0.0013782,0.000459401,0.0013782,0.000459401,0.0013782,0.000459401,0.0013782,0.000459401
63,2545.03,0.7722,0.47517,0.94802,0.93482,0.95192,0.97778,0.7662,0.84403,0.3632,0.93782,0.00136298,0.000454325,0.00136298,0.000454325,0.00136298,0.000454325,0.00136298,0.000454325
64,2580.92,0.77355,0.4782,0.94667,0.92821,0.95757,0.97914,0.76384,0.8547,0.36352,0.94193,0.00134775,0.00044925,0.00134775,0.00044925,0.00134775,0.00044925,0.00134775,0.00044925
65,2616.62,0.76771,0.47468,0.94655,0.93907,0.94674,0.97892,0.76147,0.83792,0.35793,0.94259,0.00133252,0.000444174,0.00133252,0.000444174,0.00133252,0.000444174,0.00133252,0.000444174
66,2652.27,0.76581,0.47012,0.94203,0.93934,0.94797,0.97712,0.76563,0.82675,0.36552,0.94636,0.0013173,0.000439099,0.0013173,0.000439099,0.0013173,0.000439099,0.0013173,0.000439099
67,2688.14,0.76883,0.46942,0.94366,0.93263,0.95082,0.97761,0.7577,0.82858,0.36139,0.93901,0.00130207,0.000434024,0.00130207,0.000434024,0.00130207,0.000434024,0.00130207,0.000434024
68,2723.71,0.76607,0.46965,0.94323,0.93604,0.94588,0.97814,0.75735,0.84078,0.36965,0.9571,0.00128684,0.000428948,0.00128684,0.000428948,0.00128684,0.000428948,0.00128684,0.000428948
69,2760.94,0.77368,0.46965,0.94532,0.93703,0.95094,0.97632,0.76666,0.83234,0.36365,0.94645,0.00127162,0.000423873,0.00127162,0.000423873,0.00127162,0.000423873,0.00127162,0.000423873
70,2803.49,0.76407,0.46518,0.94399,0.9413,0.94846,0.97861,0.76851,0.83981,0.36193,0.9481,0.00125639,0.000418797,0.00125639,0.000418797,0.00125639,0.000418797,0.00125639,0.000418797
71,2845.95,0.76988,0.46497,0.94352,0.92403,0.95816,0.97945,0.76496,0.8472,0.36586,0.95208,0.00124117,0.000413722,0.00124117,0.000413722,0.00124117,0.000413722,0.00124117,0.000413722
72,2888.2,0.76317,0.46357,0.9412,0.93149,0.95486,0.97771,0.7674,0.83897,0.36385,0.95143,0.00122594,0.000408647,0.00122594,0.000408647,0.00122594,0.000408647,0.00122594,0.000408647
73,2930.59,0.76106,0.45551,0.94446,0.93799,0.94388,0.9768,0.76478,0.85112,0.37554,0.96353,0.00121071,0.000403571,0.00121071,0.000403571,0.00121071,0.000403571,0.00121071,0.000403571
74,2974.28,0.76542,0.46036,0.94223,0.95236,0.93723,0.98017,0.76795,0.83576,0.36041,0.94734,0.00119549,0.000398496,0.00119549,0.000398496,0.00119549,0.000398496,0.00119549,0.000398496
75,3016.71,0.75996,0.45455,0.94187,0.94996,0.93348,0.97716,0.76394,0.82809,0.36199,0.93888,0.00118026,0.00039342,0.00118026,0.00039342,0.00118026,0.00039342,0.00118026,0.00039342
76,3059.37,0.76398,0.45607,0.94148,0.95086,0.92682,0.97828,0.76536,0.85115,0.37179,0.9552,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345
77,3102.45,0.76546,0.46025,0.94291,0.91029,0.96697,0.97741,0.76488,0.83476,0.36696,0.94928,0.00114981,0.00038327,0.00114981,0.00038327,0.00114981,0.00038327,0.00114981,0.00038327
78,3145.64,0.75843,0.45106,0.938,0.91167,0.96512,0.9791,0.76676,0.83626,0.36585,0.94625,0.00113458,0.000378194,0.00113458,0.000378194,0.00113458,0.000378194,0.00113458,0.000378194
79,3188.35,0.75324,0.44987,0.94008,0.93419,0.94447,0.97907,0.76868,0.82938,0.3604,0.94592,0.00111936,0.000373119,0.00111936,0.000373119,0.00111936,0.000373119,0.00111936,0.000373119
80,3231.22,0.75287,0.44782,0.93987,0.94283,0.93987,0.97863,0.76696,0.8351,0.3669,0.95506,0.00110413,0.000368043,0.00110413,0.000368043,0.00110413,0.000368043,0.00110413,0.000368043
81,3274.36,0.75941,0.45147,0.93898,0.94927,0.93253,0.97857,0.76798,0.83851,0.36246,0.94702,0.0010889,0.000362968,0.0010889,0.000362968,0.0010889,0.000362968,0.0010889,0.000362968
82,3316.74,0.7497,0.4437,0.93577,0.95631,0.91594,0.9783,0.76827,0.83246,0.3625,0.94867,0.00107368,0.000357893,0.00107368,0.000357893,0.00107368,0.000357893,0.00107368,0.000357893
83,3359.47,0.7556,0.4495,0.94062,0.95236,0.92502,0.97867,0.76662,0.84512,0.35848,0.94332,0.00105845,0.000352817,0.00105845,0.000352817,0.00105845,0.000352817,0.00105845,0.000352817
84,3401.73,0.75989,0.44733,0.94204,0.94855,0.9277,0.97708,0.7659,0.84704,0.36685,0.96496,0.00104323,0.000347742,0.00104323,0.000347742,0.00104323,0.000347742,0.00104323,0.000347742
